t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
1.448794,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01877,+0.13631,0.09230,204.54,+0.01762,+0.01763,+0.00000,+0.11348,0.09284,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.102,-0.09218,-15.00,-0.00743,1,+0.03780,-0.02310,0.01945,+0.001,0,35.0,34.1
1.477145,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01897,+0.13996,0.08837,205.19,+0.01779,+0.01765,+0.00000,+0.11677,0.09228,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.243,-0.09031,-15.00,-0.00724,1,+0.03909,-0.02471,0.01702,+0.001,0,35.0,34.1
1.510393,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01863,+0.13915,0.08854,205.05,+0.01791,+0.01768,+0.00000,+0.11996,0.09175,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.422,-0.08871,-15.00,-0.00700,1,+0.03890,-0.02441,0.01579,+0.001,0,35.0,34.1
1.538907,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01863,+0.14008,0.08819,205.21,+0.01800,+0.01772,+0.00000,+0.12247,0.09131,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.513,-0.08674,-15.00,-0.00690,1,+0.04048,-0.02546,0.01446,+0.001,0,35.0,34.1
1.566004,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01863,+0.14008,0.08819,205.21,+0.01807,+0.01777,+0.00000,+0.12457,0.09093,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.639,-0.08406,-15.00,-0.00675,1,+0.04048,-0.02546,0.01446,+0.001,0,35.0,34.1
1.596292,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01902,+0.13811,0.08889,204.86,+0.01820,+0.01782,+0.00000,+0.12635,0.09067,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.801,-0.08238,-15.00,-0.00653,1,+0.04232,-0.02726,0.01368,+0.001,0,35.0,34.1
1.625953,0,0,0.230457,0.230457,0.2750,-0.04454,0,1,1,+0.01870,+0.13762,0.08941,204.77,+0.01826,+0.01788,+0.00000,+0.12781,0.09050,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.929,-0.08074,-15.00,-0.00637,0,+0.00000,+0.00000,0.01270,+0.001,0,35.0,34.1
1.654766,0,0,0.231763,0.231763,0.2750,-0.04324,0,1,1,+0.01859,+0.13876,0.09095,204.98,+0.01830,+0.01793,+0.00000,+0.12919,0.09056,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.057,-0.07889,-15.00,-0.00620,0,+0.00000,+0.00000,0.01239,+0.001,0,35.0,34.1
1.685992,0,0,0.232954,0.232954,0.2750,-0.04205,0,1,1,+0.01816,+0.14026,0.09010,205.25,+0.01828,+0.01798,+0.00000,+0.13068,0.09050,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.193,-0.07688,-15.00,-0.00603,0,+0.00000,+0.00000,0.01192,+0.001,0,35.0,34.1
1.715105,0,0,0.234246,0.234246,0.2750,-0.04075,0,1,1,+0.01816,+0.13945,0.09044,205.10,+0.01827,+0.01802,+0.00000,+0.13180,0.09049,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.305,-0.07454,-15.00,-0.00590,0,+0.00000,+0.00000,0.01132,+0.001,0,35.0,34.1
