t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,tube_solid,rail_on,u_tube_f,curv_f,rail_k,rail_deg,gate_fine_deg,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.693596,0,0,0.279187,0.279187,0.2750,+0.00419,0,0,0.0000,1,1,+0.02518,-0.01034,0.08696,178.14,+0.02088,+0.01943,+0.00000,-0.01199,0.08168,1.0000,1,0,1,1,-0.05802,+0.03324,1.0000,+2.372,+0.000,0,0,+0.000,+2.372,+2.372,+0.00760,-5.059,+0.00013,+0.00,+0.00000,1,-0.13757,+0.10801,0.01796,+0.571,0,0.0,0.0
0.721287,0,0,0.279429,0.279429,0.2750,+0.00443,0,0,0.0000,1,1,+0.02525,-0.01538,0.08731,177.23,+0.02141,+0.01967,+0.00000,-0.01241,0.08236,1.0000,1,0,1,1,-0.06817,+0.04257,1.0000,+2.687,+0.000,0,0,+0.000,+2.687,+2.687,+0.00866,-4.754,+0.00011,+0.00,+0.00000,1,-0.14152,+0.10994,0.01529,+0.635,0,0.0,0.0
0.752085,0,0,0.279597,0.279597,0.2750,+0.00460,0,0,0.0000,1,1,+0.02525,-0.01538,0.08731,177.23,+0.02192,+0.01997,+0.00000,-0.01280,0.08303,1.0000,1,0,1,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00952,-4.483,+0.00010,+0.00,+0.00000,1,-0.14152,+0.10994,0.01529,+0.728,0,0.0,0.0
0.782897,0,0,0.279591,0.279591,0.2750,+0.00459,0,0,0.0000,1,1,+0.02425,-0.01481,0.08498,177.33,+0.02223,+0.02027,+0.00000,-0.01307,0.08329,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00909,-4.412,+0.00009,+0.00,+0.00000,1,-0.14385,+0.10691,0.01276,+0.815,0,0.0,0.0
0.812158,0,0,0.279816,0.279816,0.2750,+0.00482,0,0,0.0000,1,1,+0.02492,-0.01648,0.08571,177.03,+0.02258,+0.02057,+0.00000,-0.01351,0.08360,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00864,-4.305,+0.00008,+0.00,+0.00000,1,-0.17783,+0.13446,0.01174,+0.909,0,0.0,0.0
0.840368,0,0,0.281060,0.281060,0.2750,+0.00606,0,0,0.0000,1,1,+0.02546,-0.02364,0.08924,175.74,+0.02293,+0.02086,+0.00000,-0.01476,0.08429,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00817,-4.104,+0.00007,+0.00,+0.00000,0,+0.00000,+0.00000,0.00964,+1.017,0,0.0,0.0
0.868795,0,0,0.281890,0.281890,0.2750,+0.00689,0,0,0.0000,1,1,+0.02791,-0.02302,0.09246,175.86,+0.02355,+0.02119,+0.00000,-0.01579,0.08531,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00785,-3.916,+0.00006,+0.00,+0.00000,0,+0.00000,+0.00000,0.00812,+1.098,0,0.0,0.0
0.896212,0,0,0.282502,0.282502,0.2750,+0.00750,0,0,0.0000,1,1,+0.02967,-0.02328,0.09179,175.81,+0.02429,+0.02157,+0.00000,-0.01669,0.08609,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00763,-3.910,+0.00005,+0.00,+0.00000,0,+0.00000,+0.00000,0.00646,+1.152,0,0.0,0.0
0.922338,0,0,0.283386,0.283386,0.2750,+0.00839,0,0,0.0000,1,1,+0.03052,-0.02656,0.09027,175.22,+0.02501,+0.02196,+0.00000,-0.01783,0.08657,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00739,-3.754,+0.00005,+0.00,+0.00000,0,+0.00000,+0.00000,0.00812,+1.210,0,0.0,0.0
0.950295,0,0,0.284052,0.284052,0.2750,+0.00905,0,0,0.0000,1,1,+0.03052,-0.02656,0.09027,175.22,+0.02568,+0.02242,+0.00000,-0.01890,0.08703,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00717,-3.679,+0.00004,+0.00,+0.00000,0,+0.00000,+0.00000,0.00812,+1.262,0,0.0,0.0
