386,SLOW,1,6.13,-0.626,+0.131
387,FAST,3,3.13,-0.324,+0.248
388,FAST,7,3.16,+0.103,+0.273
390,FAST,8,2.99,+0.303,+0.242
392,SLOW,1,6.09,-0.522,+0.523
396,FAST,7,3.15,+0.027,+0.283
397,SLOW,1,6.30,-0.531,+0.028
398,SLOW,1,6.73,+0.447,-0.117
400,FAST,8,3.10,+0.165,+0.251
403,SLOW,3,6.73,+0.523,-0.251
405,FAST,1,3.17,-0.291,+0.277
406,SLOW,1,26.97,-0.106,+0.832
408,SLOW,3,6.64,+0.485,-0.139
409,FAST,7,3.15,+0.266,+0.083
410,SLOW,1,26.97,-0.271,+0.793
413,SLOW,3,6.54,+0.368,-0.192
416,SLOW,1,6.74,+0.526,-0.138
419,SLOW,8,6.64,+0.391,+0.033
421,SLOW,8,6.91,+0.557,+0.362
424,FAST,4,3.14,+0.236,+0.066
426,FAST,3,3.10,-0.110,+0.321
429,SLOW,4,6.71,+0.472,-0.065
431,SLOW,1,6.82,+0.520,-0.032
434,FAST,7,3.16,+0.093,+0.287
435,SLOW,1,6.55,+0.454,+0.058
436,SLOW,1,26.97,-0.308,+0.815
437,SLOW,3,6.68,+0.496,-0.192
438,SLOW,1,26.96,+0.141,+0.848
439,SLOW,1,6.22,-0.587,+0.017
442,SLOW,3,5.93,+0.435,-0.332
444,SLOW,3,6.81,+0.566,-0.063
447,SLOW,3,6.66,+0.517,+0.141
448,FAST,1,0.29,+0.093,+0.379
453,SLOW,3,6.60,+0.455,-0.000
454,FAST,8,3.12,+0.227,+0.311
457,SLOW,1,6.74,+0.516,-0.109
458,FAST,1,3.13,-0.199,+0.309
460,FAST,7,3.18,+0.217,+0.148
463,FAST,8,3.51,+0.366,+0.099
464,FAST,7,3.10,+0.023,+0.281
465,SLOW,3,6.74,+0.495,-0.078
468,FAST,1,3.14,-0.109,+0.249
470,SLOW,1,26.97,-0.356,+0.833
471,SLOW,1,26.97,+0.074,+0.843
473,SLOW,1,6.24,-0.549,+0.071
474,SLOW,3,7.12,-0.420,+0.184
476,SLOW,1,6.63,+0.504,-0.143
478,FAST,7,3.10,+0.010,+0.216
479,SLOW,1,11.89,-0.098,+0.553
481,FAST,1,2.11,+0.376,-0.085
486,FAST,7,3.12,-0.091,+0.370
487,FAST,1,1.44,-0.626,+0.011
489,SLOW,1,26.97,+0.176,+0.773
492,FAST,3,3.30,-0.446,+0.045
493,SLOW,3,6.68,+0.513,-0.008
494,SLOW,1,6.57,+0.486,+0.092
495,SLOW,3,6.75,+0.470,-0.144
497,SLOW,1,26.97,-0.302,+0.826
499,FAST,7,3.12,+0.204,+0.308
502,FAST,7,3.15,-0.036,+0.293
505,FAST,7,3.12,-0.049,+0.335
506,SLOW,1,6.68,+0.383,-0.073
508,FAST,7,3.18,-0.012,+0.158
509,FAST,7,3.13,-0.051,+0.151
510,SLOW,8,6.47,+0.576,+0.068
512,FAST,1,0.87,-0.627,-0.623
513,SLOW,1,6.70,+0.501,-0.170
518,FAST,8,3.06,+0.259,+0.361
519,SLOW,1,26.98,-0.078,+0.906
521,SLOW,1,7.78,+0.509,+0.189
522,FAST,7,3.11,+0.161,+0.312
524,FAST,7,3.14,+0.064,+0.256
525,SLOW,1,10.33,+0.251,+0.683
526,SLOW,1,9.21,+0.023,+0.368
528,SLOW,3,6.54,+0.487,-0.097
529,SLOW,1,25.71,+0.088,+0.889
531,FAST,7,3.15,+0.153,+0.196
532,SLOW,4,6.67,+0.406,-0.233
534,FAST,1,3.32,+0.302,-0.023
535,FAST,7,3.17,+0.145,+0.172
539,FAST,7,3.16,+0.194,+0.149
540,FAST,3,3.11,-0.125,+0.320
541,SLOW,3,6.68,+0.531,-0.242
542,SLOW,2,26.97,-0.039,+0.838
544,SLOW,1,7.14,+0.526,-0.035
545,FAST,7,3.13,+0.110,+0.139
547,FAST,7,3.14,-0.017,+0.242
548,SLOW,1,6.40,+0.480,+0.011
550,SLOW,1,6.71,+0.435,-0.094
551,SLOW,4,6.08,-0.510,+0.539
553,SLOW,1,6.86,+0.535,-0.130
555,FAST,7,3.13,+0.158,+0.158
558,FAST,7,3.15,+0.153,+0.170
561,FAST,1,2.95,+0.320,+0.240
563,SLOW,1,27.21,-0.181,+0.807
566,FAST,8,3.28,+0.423,+0.075
567,FAST,7,3.13,+0.012,+0.331
569,FAST,7,3.14,+0.074,+0.210
570,FAST,7,3.16,-0.012,+0.199
571,SLOW,8,6.52,+0.524,+0.069
573,FAST,7,3.13,+0.005,+0.325
576,FAST,7,3.10,+0.274,+0.284
577,SLOW,1,26.97,-0.314,+0.810
579,FAST,1,0.12,+0.106,-0.334
580,SLOW,1,6.38,+0.547,+0.043
581,FAST,1,3.23,-0.373,+0.274
582,SLOW,1,26.96,-0.153,+0.800
583,FAST,1,3.12,-0.181,+0.239
585,FAST,1,2.67,-0.364,+0.370
588,SLOW,1,6.51,+0.369,+0.060
589,SLOW,1,6.70,+0.494,-0.046
592,SLOW,8,6.33,+0.580,+0.045
