110,107.4,107.8,46.7,11.92,107.8,2915,26.98,-0.557,-0.830,0.067,-0.600,0
115,103.4,66.9,44.4,11.91,66.9,190,3.09,+0.066,+0.337,0.523,-0.600,1
116,72.1,67.6,47.4,11.88,67.6,426,6.40,+0.421,-0.112,0.590,-0.600,0
117,101.1,62.0,42.4,9.76,62.0,182,3.21,-0.277,+0.648,0.566,-0.600,1
118,77.6,68.5,44.8,12.83,68.5,453,6.63,+0.500,+0.064,0.575,-0.600,1
120,88.3,95.2,37.6,19.50,95.2,1165,12.32,-0.092,-0.605,0.065,-0.600,0
122,74.5,67.3,45.9,10.65,67.3,190,3.10,+0.229,+0.330,0.546,-0.600,1
125,100.4,63.6,41.8,12.05,63.6,185,3.15,-0.162,+0.282,0.589,-0.600,0
126,69.8,67.3,47.0,9.74,67.3,191,3.11,-0.159,+0.280,0.526,-0.600,0
128,67.5,61.6,40.0,12.39,61.6,424,6.65,+0.428,-0.173,0.561,-0.600,0
129,68.2,64.5,43.3,10.19,64.5,184,3.18,+0.323,-0.088,0.575,-0.600,0
130,102.6,63.2,43.3,7.78,63.2,181,3.25,-0.278,+0.223,0.583,-0.600,0
131,106.6,106.6,51.1,16.07,106.6,2610,26.72,-0.422,+0.520,0.250,-0.600,0
136,100.6,67.9,42.8,12.96,67.9,186,3.06,-0.423,+0.276,0.513,-0.600,0
141,76.6,69.8,45.5,13.59,69.8,466,6.68,+0.507,-0.084,0.458,-0.600,0
143,101.4,66.0,47.9,8.25,66.0,187,3.09,-0.190,+0.334,0.541,-0.600,0
144,75.3,66.0,43.2,12.59,66.0,505,7.60,+0.518,-0.038,0.441,-0.600,0
145,102.4,103.3,45.8,16.32,103.3,2596,26.97,-0.272,+0.811,0.114,-0.600,0
146,83.1,67.5,47.0,8.79,67.5,189,3.12,+0.055,+0.232,0.560,-0.600,1
147,63.2,60.9,40.9,9.86,60.9,173,3.14,+0.177,+0.314,0.521,-0.600,0
148,71.0,71.0,46.2,13.67,71.0,510,7.32,+0.517,-0.094,0.419,-0.600,0
151,102.7,66.4,42.5,14.44,66.4,605,8.76,-0.377,+0.363,0.415,-0.600,0
152,85.6,68.2,46.3,9.57,68.2,193,3.13,+0.167,+0.295,0.556,-0.600,1
154,70.7,67.5,42.5,13.11,67.5,443,6.63,+0.378,-0.140,0.589,-0.600,0
155,69.7,69.0,46.9,10.29,69.0,193,3.11,+0.310,+0.067,0.539,-0.600,0
156,95.9,62.3,43.4,8.92,62.3,176,3.09,+0.013,+0.231,0.518,-0.600,1
157,68.5,65.4,46.6,12.00,65.4,448,6.66,+0.441,-0.036,0.555,-0.600,0
159,101.6,69.2,43.4,12.52,69.2,195,3.15,-0.072,+0.322,0.532,-0.600,1
160,100.8,65.4,45.1,7.08,65.4,188,3.19,+0.058,+0.250,0.562,-0.600,1
161,105.6,65.8,46.5,12.61,65.8,452,6.71,+0.440,-0.199,0.554,-0.600,0
162,102.9,67.0,45.9,9.05,67.0,189,3.15,-0.077,+0.261,0.592,-0.600,1
164,73.0,69.8,47.7,10.70,69.8,195,3.11,+0.228,+0.130,0.529,-0.600,0
167,105.5,66.3,41.6,13.05,66.3,192,3.16,-0.247,+0.251,0.595,-0.600,0
168,101.2,68.7,48.4,8.29,68.7,194,3.15,-0.084,+0.267,0.570,-0.600,1
170,77.5,87.2,45.4,15.09,87.2,981,11.12,-0.037,+0.805,0.137,-0.600,0
172,71.7,67.9,47.4,10.10,67.9,193,3.14,+0.272,+0.006,0.518,-0.600,0
173,76.4,69.6,44.3,13.29,69.6,461,6.71,+0.501,+0.274,0.410,-0.600,0
175,82.6,70.1,44.9,16.08,70.1,439,6.06,-0.477,+0.509,0.357,-0.600,0
177,69.0,68.4,46.7,11.82,68.4,445,6.63,+0.462,-0.155,0.522,-0.600,0
178,102.4,66.7,44.9,13.48,66.7,441,6.40,+0.463,+0.188,0.483,-0.600,1
179,102.4,67.6,46.0,10.48,67.6,191,3.12,-0.180,+0.342,0.537,-0.600,0
180,104.5,64.0,45.5,8.14,64.0,183,3.12,+0.105,+0.162,0.494,-0.600,1
182,103.0,103.3,47.3,16.12,103.3,2585,26.97,-0.284,+0.801,0.124,-0.600,0
185,76.9,71.9,44.6,13.79,71.9,550,7.78,+0.529,+0.022,0.390,-0.600,0
187,68.3,66.7,48.6,10.88,66.7,445,6.69,+0.476,-0.150,0.518,-0.600,0
188,81.6,67.9,47.2,10.31,67.9,193,3.10,+0.020,+0.255,0.548,-0.600,1
190,102.1,64.9,43.1,8.82,64.9,183,3.14,+0.035,+0.323,0.538,-0.600,1
195,104.0,67.8,46.9,8.91,67.8,190,3.10,+0.113,+0.283,0.507,-0.600,1
196,107.6,66.8,47.9,9.25,66.8,188,3.08,+0.137,+0.338,0.520,-0.600,0
197,96.6,69.0,47.1,12.87,69.0,463,6.65,+0.490,+0.181,0.429,-0.600,0
200,79.5,68.4,46.6,12.32,68.4,198,3.12,+0.311,+0.197,0.535,-0.600,1
201,105.3,65.1,52.7,7.59,65.1,182,3.02,-0.252,+0.311,0.526,-0.600,0
203,103.1,68.0,47.3,9.82,68.0,194,3.16,-0.229,+0.302,0.537,-0.600,0
205,74.0,66.0,45.7,12.02,66.0,438,6.61,+0.348,-0.180,0.583,-0.600,0
207,105.3,56.7,37.7,17.08,56.7,220,2.98,+0.465,+0.061,0.454,+0.000,0
213,103.1,103.4,41.8,17.32,103.4,2544,26.98,-0.324,+0.808,0.127,-0.600,0
214,89.6,68.0,42.7,15.07,68.0,432,6.28,-0.642,+0.323,0.392,-0.600,0
216,68.4,68.4,40.8,13.04,68.4,453,6.69,+0.522,-0.049,0.462,-0.600,0
217,105.5,105.8,44.9,19.36,105.8,2568,26.96,+0.559,+0.195,0.329,-0.600,0
220,100.0,101.7,47.5,14.99,101.7,2626,26.97,-0.492,+0.688,0.293,-0.600,0
221,75.6,67.3,47.2,12.34,67.3,450,6.56,+0.470,+0.022,0.494,-0.600,0
224,109.2,109.4,51.7,11.15,109.4,2957,26.97,,,,-0.600,0
226,78.6,79.6,44.0,20.56,79.6,808,9.55,-0.184,+0.882,0.213,-0.600,0
229,70.7,70.0,42.8,13.33,70.0,463,6.69,+0.518,-0.020,0.448,-0.600,0
230,103.4,65.6,43.0,8.45,65.6,184,3.17,-0.161,+0.276,0.589,-0.600,0
231,76.1,60.6,44.6,11.66,60.6,413,6.22,-0.533,+0.000,0.546,-0.600,0
232,70.5,66.9,45.9,11.24,66.9,192,3.13,+0.301,-0.073,0.539,-0.600,0
234,102.9,67.7,44.7,11.29,67.7,192,3.13,-0.009,+0.289,0.582,-0.600,1
237,69.4,67.4,46.8,11.03,67.4,429,6.54,+0.353,-0.190,0.592,-0.600,0
239,79.9,69.4,45.7,15.51,69.4,439,6.06,-0.495,+0.546,0.370,-0.600,0
240,79.8,67.6,44.0,12.14,67.6,191,3.12,-0.091,+0.186,0.563,-0.600,1
