timestamp,attempt,run,mode,hold_s,csv,class,verdict,median_rate,slow_pct,dirty_start,crossing_dips,gate1_u,max_active_gate,g3_size,g3_u_f,g3_v_err,commit_latched,commit_stable_s,descent_frames,descent_impulse,hold_armed,hold_frames,hold_duration_s,registered,flicker_blocked,gate3_registered,highest_active_gate,gates_completed,full_course_complete,finish_signal,first_failure_after_gate3,time_gate3_registered,final_segment,collision_after_gate3,timeout_after_gate3,failure_reason,exit_code
"2026-08-03T03:34:21","6","62","holdblind","0.3","filt_auto_062.csv","DISCARD_RATE","DISCARD","99.7","5.9","0","g1:46Hz|g2:40Hz","0.0865","2","0.5274","0.0139","0.2026","1","11.295","22","0.00351","1","20","0.305","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=15.3s","0"
"2026-08-03T03:35:05","7","63","holdblind","0.3","filt_auto_063.csv","DISCARD_RATE","DISCARD","73.8","15.9","0","g1:47Hz|g2:45Hz","0.1003","2","0.3877","0.5441","-0.0531","0","1.09","27","0.00403","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.8s","0"
"2026-08-03T03:35:48","8","64","holdblind","0.3","filt_auto_064.csv","DISCARD_RATE","DISCARD","100.9","5.7","0","g1:46Hz|g2:47Hz","0.0154","2","0.3273","-0.4723","0.7723","0","18.474","27","0.00409","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.5s","0"
"2026-08-03T03:36:32","9","65","holdblind","0.3","filt_auto_065.csv","DISCARD_RATE","DISCARD","84.8","20.5","0","g1:49Hz|g2:45Hz","0.0889","2","0.5367","0.123","0.2522","1","8.145","63","0.01089","1","21","0.309","0","0","0","2","2","0","","","","5","0","0","COLLISION GATE t=11.6s","0"
"2026-08-03T03:37:15","10","66","holdblind","0.3","filt_auto_066.csv","DISCARD_RATE","DISCARD","102.7","4.1","0","g1:48Hz|g2:48Hz","0.0407","2","","","","0","24.636","0","0.0","0","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T03:37:59","11","67","holdblind","0.3","filt_auto_067.csv","DISCARD_RATE","DISCARD","103.3","7.8","0","g1:47Hz|g2:48Hz","0.0987","2","0.5919","0.2314","0.2623","1","6.145","29","0.00469","1","19","0.266","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.9s","0"
"2026-08-03T03:38:43","12","68","holdblind","0.3","filt_auto_068.csv","DISCARD_RATE","DISCARD","65.2","16.9","0","g1:47Hz|g2:44Hz","0.0449","2","0.5387","0.4952","-0.169","0","0.898","16","0.00316","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.6s","0"
"2026-08-03T03:39:26","13","69","holdblind","0.3","filt_auto_069.csv","DISCARD_RATE","DISCARD","103.2","4.8","0","g1:46Hz","0.1182","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T03:40:10","14","70","holdblind","0.3","filt_auto_070.csv","DISCARD_RATE","DISCARD","0.0","100.0","0","","","0","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","0","0","0","","","","5","0","0","COLLISION GATE t=7.7s","0"
"2026-08-03T03:40:53","15","71","holdblind","0.3","filt_auto_071.csv","DISCARD_RATE","DISCARD","76.6","14.8","0","g1:50Hz|g2:48Hz","0.0835","2","0.5329","0.3204","0.2592","1","1.174","28","0.00398","1","11","0.134","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.6s","0"
"2026-08-03T03:41:37","16","72","holdblind","0.3","filt_auto_072.csv","DISCARD_DIRTY","DISCARD","102.5","3.5","1","g1:47Hz","0.1382","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","TIMEOUT","0"
"2026-08-03T03:42:21","17","73","holdblind","0.3","filt_auto_073.csv","DISCARD_RATE","DISCARD","104.4","10.0","0","g2:46Hz","0.0311","2","0.5325","-0.2047","0.3229","0","17.514","19","0.00275","1","20","0.296","0","0","0","2","2","0","","","","5","0","0","COLLISION GATE t=11.5s","0"
"2026-08-03T03:43:04","18","74","holdblind","0.3","filt_auto_074.csv","DISCARD_RATE","DISCARD","74.5","15.4","0","g2:49Hz","0.0406","2","0.5806","0.3792","-0.0683","0","0.86","21","0.00301","1","1","0.01","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.5s","0"
"2026-08-03T03:43:48","19","75","holdblind","0.3","filt_auto_075.csv","DISCARD_RATE","DISCARD","75.4","16.5","0","g1:49Hz|g2:46Hz","0.0865","2","0.5352","-0.2864","0.2911","0","0.953","23","0.00334","1","22","0.308","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.4s","0"
"2026-08-03T03:44:31","20","76","holdblind","0.3","filt_auto_076.csv","DISCARD_RATE","DISCARD","81.1","14.8","0","g1:50Hz|g2:48Hz","0.0978","2","0.3559","0.5194","0.1668","0","1.55","14","0.00238","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.9s","0"
"2026-08-03T03:45:15","21","77","holdblind","0.3","filt_auto_077.csv","DISCARD_RATE","DISCARD","108.3","2.7","0","","0.0294","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T03:45:58","22","78","holdblind","0.3","filt_auto_078.csv","DISCARD_RATE","DISCARD","69.5","17.0","0","g1:50Hz","0.1178","2","0.4711","0.4999","-0.1178","0","0.976","15","0.00259","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.8s","0"
"2026-08-03T03:46:42","23","79","holdblind","0.3","filt_auto_079.csv","DISCARD_RATE","DISCARD","79.8","15.1","0","g1:48Hz|g2:46Hz","0.0969","2","0.3946","0.4994","0.0973","0","3.29","14","0.00221","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.8s","0"
"2026-08-03T03:47:26","24","80","holdblind","0.3","filt_auto_080.csv","DISCARD_RATE","DISCARD","77.9","14.2","0","g2:49Hz","0.0853","2","0.5942","0.4411","0.0578","1","1.139","36","0.00518","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.9s","0"
"2026-08-03T03:48:09","25","81","holdblind","0.3","filt_auto_081.csv","DISCARD_RATE","DISCARD","78.8","14.5","0","g1:49Hz|g2:48Hz","0.0934","2","0.3776","0.5505","0.0241","0","1.929","12","0.00187","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=15.0s","0"
"2026-08-03T03:48:53","26","82","holdblind","0.3","filt_auto_082.csv","DISCARD_RATE","DISCARD","0.0","100.0","0","","","0","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","0","0","0","","","","5","0","0","COLLISION GATE t=7.7s","0"
"2026-08-03T03:49:36","27","83","holdblind","0.3","filt_auto_083.csv","DISCARD_RATE","DISCARD","77.5","15.5","0","g1:50Hz|g2:45Hz","0.1012","2","0.4341","0.5173","-0.0021","0","1.053","15","0.00266","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.8s","0"
"2026-08-03T03:50:20","28","84","holdblind","0.3","filt_auto_084.csv","DISCARD_RATE","DISCARD","103.8","2.9","0","g1:50Hz","0.0072","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T03:51:04","29","85","holdblind","0.3","filt_auto_085.csv","DISCARD_RATE","DISCARD","103.1","10.1","0","g1:47Hz|g2:46Hz","0.0475","2","0.5442","0.1506","0.1378","0","19.334","23","0.00333","1","57","2.426","0","0","0","2","2","0","","","","5","0","0","COLLISION GATE t=11.5s","0"
"2026-08-03T03:51:47","30","86","holdblind","0.3","filt_auto_086.csv","DISCARD_RATE","DISCARD","104.3","3.2","0","g1:49Hz|g2:48Hz","0.0421","2","0.2102","-0.4177","0.8762","0","18.314","7","0.00103","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.5s","0"
"2026-08-03T03:52:31","31","87","holdblind","0.3","filt_auto_087.csv","DISCARD_RATE","DISCARD","103.5","10.3","0","g2:46Hz","0.0983","2","0.5898","-0.2211","0.2707","0","16.252","17","0.00252","1","19","0.305","0","0","0","2","2","0","","","","5","0","0","COLLISION GATE t=11.5s","0"
"2026-08-03T03:53:14","32","88","holdblind","0.3","filt_auto_088.csv","DISCARD_RATE","DISCARD","77.1","11.7","0","g1:47Hz","0.0328","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION ENV/ground t=15.3s","0"
"2026-08-03T03:53:58","33","89","holdblind","0.3","filt_auto_089.csv","DISCARD_DIRTY","DISCARD","73.1","24.6","1","g1:46Hz|g2:39Hz","0.1283","2","0.4514","0.5012","-0.0356","0","1.024","13","0.00193","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.8s","0"
"2026-08-03T03:54:41","34","90","holdblind","0.3","filt_auto_090.csv","DISCARD_RATE","DISCARD","98.4","7.3","0","","0.0997","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T03:55:25","35","91","holdblind","0.3","filt_auto_091.csv","DISCARD_RATE","DISCARD","73.4","13.3","0","g1:50Hz|g2:43Hz","0.1013","2","0.5045","0.2411","0.3527","1","2.227","25","0.00385","1","22","0.304","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.9s","0"
"2026-08-03T03:56:08","36","92","holdblind","0.3","filt_auto_092.csv","DISCARD_RATE","DISCARD","103.4","8.1","0","g1:46Hz|g2:43Hz","0.0961","2","0.5385","0.4636","-0.2759","0","17.941","14","0.00203","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.8s","0"
"2026-08-03T03:56:52","37","93","holdblind","0.3","filt_auto_093.csv","DISCARD_RATE","DISCARD","85.2","6.0","0","g1:50Hz","0.0991","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T03:57:36","38","94","holdblind","0.3","filt_auto_094.csv","DISCARD_RATE","DISCARD","67.9","16.1","0","g1:48Hz|g2:43Hz","0.0922","2","0.5447","0.4558","-0.1855","0","0.893","17","0.00254","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.8s","0"
"2026-08-03T03:58:19","39","95","holdblind","0.3","filt_auto_095.csv","DISCARD_RATE","DISCARD","102.6","6.2","0","g1:49Hz","0.1121","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T03:59:03","40","96","holdblind","0.3","filt_auto_096.csv","DISCARD_RATE","DISCARD","100.6","3.5","0","","0.0939","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=4.6s","0"
"2026-08-03T03:59:46","41","97","holdblind","0.3","filt_auto_097.csv","DISCARD_RATE","DISCARD","73.2","9.5","0","g1:49Hz|g2:50Hz","0.1064","2","0.1302","-0.0409","0.8712","0","0.0","0","0.0","0","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T04:00:30","42","98","holdblind","0.3","filt_auto_098.csv","DISCARD_DIRTY","DISCARD","102.9","6.9","1","g1:47Hz","0.1274","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T04:01:14","43","99","holdblind","0.3","filt_auto_099.csv","DISCARD_RATE","DISCARD","103.9","6.7","0","","0.0113","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T04:01:57","44","100","holdblind","0.3","filt_auto_100.csv","DISCARD_RATE","DISCARD","106.1","10.8","0","g2:45Hz","0.097","2","0.5702","0.5009","0.0251","1","18.084","33","0.00472","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.5s","0"
"2026-08-03T04:02:41","45","101","holdblind","0.3","filt_auto_101.csv","DISCARD_RATE","DISCARD","104.4","4.3","0","g1:49Hz","0.0331","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T04:03:24","46","102","holdblind","0.3","filt_auto_102.csv","DISCARD_RATE","DISCARD","77.4","16.8","0","g1:49Hz|g2:44Hz","0.0919","2","0.4432","0.5138","-0.0712","0","1.03","14","0.00209","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.8s","0"
"2026-08-03T04:04:08","47","103","holdblind","0.3","filt_auto_103.csv","DISCARD_RATE","DISCARD","103.8","9.8","0","g1:49Hz|g2:49Hz","0.0379","2","0.5127","-0.1674","0.3729","0","19.466","11","0.00165","1","21","0.3","0","0","0","2","2","0","","","","5","0","0","COLLISION GATE t=11.5s","0"
"2026-08-03T04:04:51","48","104","holdblind","0.3","filt_auto_104.csv","DISCARD_RATE","DISCARD","104.2","7.8","0","g1:50Hz|g2:43Hz","0.0385","2","0.5907","-0.0488","0.1552","1","17.375","18","0.00263","1","18","0.302","0","0","0","2","2","0","","","","5","0","0","COLLISION GATE t=11.5s","0"
"2026-08-03T04:05:35","49","105","holdblind","0.3","filt_auto_105.csv","DISCARD_RATE","DISCARD","68.1","16.6","0","g2:44Hz","0.0421","2","0.5468","0.3642","-0.1554","0","0.897","14","0.00209","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.8s","0"
"2026-08-03T04:06:19","50","106","holdblind","0.3","filt_auto_106.csv","DISCARD_RATE","DISCARD","104.9","3.0","0","","0.0992","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T04:07:02","51","107","holdblind","0.3","filt_auto_107.csv","DISCARD_DIRTY","DISCARD","82.0","10.0","1","","0.1221","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T04:07:46","52","108","holdblind","0.3","filt_auto_108.csv","DISCARD_RATE","DISCARD","0.0","100.0","0","","","0","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","0","0","0","","","","5","0","0","COLLISION GATE t=7.7s","0"
"2026-08-03T04:08:29","53","109","holdblind","0.3","filt_auto_109.csv","DISCARD_RATE","DISCARD","73.9","15.4","0","g2:48Hz","0.0804","2","0.5847","0.4151","-0.1884","0","0.876","18","0.00285","1","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.7s","0"
"2026-08-03T04:09:13","54","110","holdblind","0.3","filt_auto_110.csv","DISCARD_RATE","DISCARD","107.4","3.9","0","g1:48Hz|g2:47Hz","0.0285","2","0.0669","-0.5571","-0.8297","0","24.617","0","0.0","0","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T04:09:57","55","111","holdblind","0.3","filt_auto_111.csv","DISCARD_RATE","DISCARD","108.8","6.1","0","g1:49Hz","0.0999","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
